budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,movie_id,cast,crew,Profit,overview_2
237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",http://www.avatarmovie.com/,19995,"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",en,Avatar,"['In', 'the', '22nd', 'century,', 'a', 'paraplegic', 'Marine', 'is', 'dispatched', 'to', 'the', 'moon', 'Pandora', 'on', 'a', 'unique', 'mission,', 'but', 'becomes', 'torn', 'between', 'following', 'orders', 'and', 'protecting', 'an', 'alien', 'civilization.']",150.437577,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]","['United States of America', 'United Kingdom']",2009,2787965087,2 h 42 min,"['English', 'Español']",Released: 2009,Enter the World of Pandora.,Avatar,7.2,11800,19995,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",['James Cameron'],2550965087,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
300000000,"['Adventure', 'Fantasy', 'Action']",http://disney.go.com/disneypictures/pirates/,285,"['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",en,Pirates of the Caribbean: At World's End,"['Captain', 'Barbossa,', 'long', 'believed', 'to', 'be', 'dead,', 'has', 'come', 'back', 'to', 'life', 'and', 'is', 'headed', 'to', 'the', 'edge', 'of', 'the', 'Earth', 'with', 'Will', 'Turner', 'and', 'Elizabeth', 'Swann.', 'But', 'nothing', 'is', 'quite', 'as', 'it', 'seems.']",139.082615,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",['United States of America'],2007,961000000,2 h 49 min,['English'],Released: 2007,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500,285,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],661000000,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems."
245000000,"['Action', 'Adventure', 'Crime']",http://www.sonypictures.com/movies/spectre/,206647,"['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",en,Spectre,"['A', 'cryptic', 'message', 'from', 'Bond’s', 'past', 'sends', 'him', 'on', 'a', 'trail', 'to', 'uncover', 'a', 'sinister', 'organization.', 'While', 'M', 'battles', 'political', 'forces', 'to', 'keep', 'the', 'secret', 'service', 'alive,', 'Bond', 'peels', 'back', 'the', 'layers', 'of', 'deceit', 'to', 'reveal', 'the', 'terrible', 'truth', 'behind', 'SPECTRE.']",107.376788,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]","['United Kingdom', 'United States of America']",2015,880674609,2 h 28 min,"['Français', 'English', 'Español', 'Italiano', 'Deutsch']",Released: 2015,A Plan No One Escapes,Spectre,6.3,4466,206647,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",['Sam Mendes'],635674609,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE."
250000000,"['Action', 'Crime', 'Drama', 'Thriller']",http://www.thedarkknightrises.com/,49026,"['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']",en,The Dark Knight Rises,"['Following', 'the', 'death', 'of', 'District', 'Attorney', 'Harvey', 'Dent,', 'Batman', 'assumes', 'responsibility', 'for', ""Dent's"", 'crimes', 'to', 'protect', 'the', 'late', ""attorney's"", 'reputation', 'and', 'is', 'subsequently', 'hunted', 'by', 'the', 'Gotham', 'City', 'Police', 'Department.', 'Eight', 'years', 'later,', 'Batman', 'encounters', 'the', 'mysterious', 'Selina', 'Kyle', 'and', 'the', 'villainous', 'Bane,', 'a', 'new', 'terrorist', 'leader', 'who', 'overwhelms', ""Gotham's"", 'finest.', 'The', 'Dark', 'Knight', 'resurfaces', 'to', 'protect', 'a', 'city', 'that', 'has', 'branded', 'him', 'an', 'enemy.']",112.31295,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",['United States of America'],2012,1084939099,2 h 45 min,['English'],Released: 2012,The Legend Ends,The Dark Knight Rises,7.6,9106,49026,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",['Christopher Nolan'],834939099,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy."
260000000,"['Action', 'Adventure', 'Science Fiction']",http://movies.disney.com/john-carter,49529,"['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']",en,John Carter,"['John', 'Carter', 'is', 'a', 'war-weary,', 'former', 'military', 'captain', ""who's"", 'inexplicably', 'transported', 'to', 'the', 'mysterious', 'and', 'exotic', 'planet', 'of', 'Barsoom', '(Mars)', 'and', 'reluctantly', 'becomes', 'embroiled', 'in', 'an', 'epic', 'conflict.', ""It's"", 'a', 'world', 'on', 'the', 'brink', 'of', 'collapse,', 'and', 'Carter', 'rediscovers', 'his', 'humanity', 'when', 'he', 'realizes', 'the', 'survival', 'of', 'Barsoom', 'and', 'its', 'people', 'rests', 'in', 'his', 'hands.']",43.926995,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",['United States of America'],2012,284139100,2 h 12 min,['English'],Released: 2012,"Lost in our world, found in another.",John Carter,6.1,2124,49529,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",['Andrew Stanton'],24139100,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands."
258000000,"['Fantasy', 'Action', 'Adventure']",http://www.sonypictures.com/movies/spider-man3/,559,"['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']",en,Spider-Man 3,"['The', 'seemingly', 'invincible', 'Spider-Man', 'goes', 'up', 'against', 'an', 'all-new', 'crop', 'of', 'villain', '–', 'including', 'the', 'shape-shifting', 'Sandman.', 'While', 'Spider-Man’s', 'superpowers', 'are', 'altered', 'by', 'an', 'alien', 'organism,', 'his', 'alter', 'ego,', 'Peter', 'Parker,', 'deals', 'with', 'nemesis', 'Eddie', 'Brock', 'and', 'also', 'gets', 'caught', 'up', 'in', 'a', 'love', 'triangle.']",115.699814,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",['United States of America'],2007,890871626,2 h 19 min,"['English', 'Français']",Released: 2007,The battle within.,Spider-Man 3,5.9,3576,559,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],632871626,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle."
260000000,"['Animation', 'Family']",http://disney.go.com/disneypictures/tangled/,38757,"['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']",en,Tangled,"['When', 'the', ""kingdom's"", 'most', 'wanted-and', 'most', 'charming-bandit', 'Flynn', 'Rider', 'hides', 'out', 'in', 'a', 'mysterious', 'tower,', ""he's"", 'taken', 'hostage', 'by', 'Rapunzel,', 'a', 'beautiful', 'and', 'feisty', 'tower-bound', 'teen', 'with', '70', 'feet', 'of', 'magical,', 'golden', 'hair.', ""Flynn's"", 'curious', 'captor,', ""who's"", 'looking', 'for', 'her', 'ticket', 'out', 'of', 'the', 'tower', 'where', ""she's"", 'been', 'locked', 'away', 'for', 'years,', 'strikes', 'a', 'deal', 'with', 'the', 'handsome', 'thief', 'and', 'the', 'unlikely', 'duo', 'sets', 'off', 'on', 'an', 'action-packed', 'escapade,', 'complete', 'with', 'a', 'super-cop', 'horse,', 'an', 'over-protective', 'chameleon', 'and', 'a', 'gruff', 'gang', 'of', 'pub', 'thugs.']",48.681969,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",['United States of America'],2010,591794936,1 h 40 min,['English'],Released: 2010,They're taking adventure to new lengths.,Tangled,7.4,3330,38757,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",['Byron Howard'],331794936,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs."
280000000,"['Action', 'Adventure', 'Science Fiction']",http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,"['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",en,Avengers: Age of Ultron,"['When', 'Tony', 'Stark', 'tries', 'to', 'jumpstart', 'a', 'dormant', 'peacekeeping', 'program,', 'things', 'go', 'awry', 'and', 'Earth’s', 'Mightiest', 'Heroes', 'are', 'put', 'to', 'the', 'ultimate', 'test', 'as', 'the', 'fate', 'of', 'the', 'planet', 'hangs', 'in', 'the', 'balance.', 'As', 'the', 'villainous', 'Ultron', 'emerges,', 'it', 'is', 'up', 'to', 'The', 'Avengers', 'to', 'stop', 'him', 'from', 'enacting', 'his', 'terrible', 'plans,', 'and', 'soon', 'uneasy', 'alliances', 'and', 'unexpected', 'action', 'pave', 'the', 'way', 'for', 'an', 'epic', 'and', 'unique', 'global', 'adventure.']",134.279229,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",['United States of America'],2015,1405403694,2 h 21 min,['English'],Released: 2015,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,99861,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",['Joss Whedon'],1125403694,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure."
250000000,"['Adventure', 'Fantasy', 'Family']",http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,"['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",en,Harry Potter and the Half-Blood Prince,"['As', 'Harry', 'begins', 'his', 'sixth', 'year', 'at', 'Hogwarts,', 'he', 'discovers', 'an', 'old', 'book', 'marked', 'as', ""'Property"", 'of', 'the', 'Half-Blood', ""Prince',"", 'and', 'begins', 'to', 'learn', 'more', 'about', 'Lord', ""Voldemort's"", 'dark', 'past.']",98.885637,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]","['United Kingdom', 'United States of America']",2009,933959197,2 h 33 min,['English'],Released: 2009,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293,767,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates'],683959197,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past."
250000000,"['Action', 'Adventure', 'Fantasy']",http://www.batmanvsupermandawnofjustice.com/,209112,"['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",en,Batman v Superman: Dawn of Justice,"['Fearing', 'the', 'actions', 'of', 'a', 'god-like', 'Super', 'Hero', 'left', 'unchecked,', 'Gotham', 'City’s', 'own', 'formidable,', 'forceful', 'vigilante', 'takes', 'on', 'Metropolis’s', 'most', 'revered,', 'modern-day', 'savior,', 'while', 'the', 'world', 'wrestles', 'with', 'what', 'sort', 'of', 'hero', 'it', 'really', 'needs.', 'And', 'with', 'Batman', 'and', 'Superman', 'at', 'war', 'with', 'one', 'another,', 'a', 'new', 'threat', 'quickly', 'arises,', 'putting', 'mankind', 'in', 'greater', 'danger', 'than', 'it’s', 'ever', 'known', 'before.']",155.790452,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",['United States of America'],2016,873260194,2 h 31 min,['English'],Released: 2016,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004,209112,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",['Zack Snyder'],623260194,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
