budget,genres,id,keywords,original_language,original_title,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count,movie_id,cast,crew,Profit
237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",19995,"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",en,Avatar,150.437577,"['United States of America', 'United Kingdom']",2009-12-10,2787965087,162.0,"['English', 'Español']",Released,Avatar,7.2,11800,19995,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",['James Cameron'],2550965087
300000000,"['Adventure', 'Fantasy', 'Action']",285,"['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",en,Pirates of the Caribbean: At World's End,139.082615,['United States of America'],2007-05-19,961000000,169.0,['English'],Released,Pirates of the Caribbean: At World's End,6.9,4500,285,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],661000000
245000000,"['Action', 'Adventure', 'Crime']",206647,"['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",en,Spectre,107.376788,"['United Kingdom', 'United States of America']",2015-10-26,880674609,148.0,"['Français', 'English', 'Español', 'Italiano', 'Deutsch']",Released,Spectre,6.3,4466,206647,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",['Sam Mendes'],635674609
250000000,"['Action', 'Crime', 'Drama', 'Thriller']",49026,"['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']",en,The Dark Knight Rises,112.31295,['United States of America'],2012-07-16,1084939099,165.0,['English'],Released,The Dark Knight Rises,7.6,9106,49026,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",['Christopher Nolan'],834939099
260000000,"['Action', 'Adventure', 'Science Fiction']",49529,"['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']",en,John Carter,43.926995,['United States of America'],2012-03-07,284139100,132.0,['English'],Released,John Carter,6.1,2124,49529,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",['Andrew Stanton'],24139100
258000000,"['Fantasy', 'Action', 'Adventure']",559,"['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']",en,Spider-Man 3,115.699814,['United States of America'],2007-05-01,890871626,139.0,"['English', 'Français']",Released,Spider-Man 3,5.9,3576,559,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],632871626
260000000,"['Animation', 'Family']",38757,"['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']",en,Tangled,48.681969,['United States of America'],2010-11-24,591794936,100.0,['English'],Released,Tangled,7.4,3330,38757,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",['Byron Howard'],331794936
280000000,"['Action', 'Adventure', 'Science Fiction']",99861,"['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",en,Avengers: Age of Ultron,134.279229,['United States of America'],2015-04-22,1405403694,141.0,['English'],Released,Avengers: Age of Ultron,7.3,6767,99861,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",['Joss Whedon'],1125403694
250000000,"['Adventure', 'Fantasy', 'Family']",767,"['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",en,Harry Potter and the Half-Blood Prince,98.885637,"['United Kingdom', 'United States of America']",2009-07-07,933959197,153.0,['English'],Released,Harry Potter and the Half-Blood Prince,7.4,5293,767,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates'],683959197
250000000,"['Action', 'Adventure', 'Fantasy']",209112,"['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",en,Batman v Superman: Dawn of Justice,155.790452,['United States of America'],2016-03-23,873260194,151.0,['English'],Released,Batman v Superman: Dawn of Justice,5.7,7004,209112,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",['Zack Snyder'],623260194
270000000,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",1452,"['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']",en,Superman Returns,57.925623,['United States of America'],2006-06-28,391081192,154.0,"['English', 'Français', 'Deutsch']",Released,Superman Returns,5.4,1400,1452,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",['Bryan Singer'],121081192
200000000,"['Adventure', 'Action', 'Thriller', 'Crime']",10764,"['killing', 'undercover', 'secret agent', 'british secret service']",en,Quantum of Solace,107.928811,"['United Kingdom', 'United States of America']",2008-10-30,586090727,106.0,"['English', 'Español', 'Italiano', 'Français', 'Deutsch']",Released,Quantum of Solace,6.1,2965,10764,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",['Marc Forster'],386090727
200000000,"['Adventure', 'Fantasy', 'Action']",58,"['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",en,Pirates of the Caribbean: Dead Man's Chest,145.847379,"['Jamaica', 'United States of America', 'Bahamas', 'Dominica']",2006-06-20,1065659812,151.0,"['English', 'Türkçe', 'ελληνικά', '普通话']",Released,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,58,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],865659812
255000000,"['Action', 'Adventure', 'Western']",57201,"['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']",en,The Lone Ranger,49.046956,['United States of America'],2013-07-03,89289910,149.0,['English'],Released,The Lone Ranger,5.9,2311,57201,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",['Gore Verbinski'],-165710090
